Controlling Corporation,ABN,Total Scope 1 Emission (t CO2-e),Total Scope 2 Emission (t CO2-e),Total Net Energy consumed  (GJ)
A B C TISSUE PRODUCTS PTY LTD ,33003085112,25660,61440,755253
A.A. SCOTT PTY LTD ,14007601667,158272,6841,2307426
A.C.N. 085 239 998 PTY LTD ,39085239998,6832,193789,916119
A.J. BUSH & SONS PTY LTD ,77000134010,109584,18577,1087875
AAPC LIMITED ,87009175820,17897,179051,1061546
ADELAIDE BRIGHTON LIMITED ,15007596018,2451057,277974,16352449
ADITYA BIRLA MINERALS LIMITED ,37103515037,81805,6011,1592253
AGL ENERGY LIMITED ,74115061375,19622185,306355,165131979
AIR LIQUIDE AUSTRALIA LIMITED ,57004385782,39101,283854,1276136
ALCAN GOVE PTY LIMITED ,76000453663,1439810,0,19217694
ALCOA AUSTRALIAN HOLDINGS PTY LTD ,33096987370,6637955,7604775,132092993
ALDI FOODS PTY LIMITED ,18086210139,37294,193603,1193645
ALINTA ENERGY FINANCE PTY LTD ,39149229998,3919559,18853,40670462
ALLIANCE AIRLINES PTY LIMITED ,81107165980,111638,365,1605750
AMALGAMATED HOLDINGS LIMITED ,51000005103,10506,137492,768907
AMCOR LIMITED ,62000017372,7044,58827,329102
AMP LIMITED ,49079354519,8841,133992,635474
ANGLO AMERICAN AUSTRALIA LIMITED ,47004892371,2974005,603926,13686643
ANGLOGOLD ASHANTI AUSTRALIA LIMITED ,42008737424,277711,340,4340585
APACHE ENERGY LIMITED ,39009301964,602323,1099,12402734
APT PIPELINES LIMITED ,89009666700,311421,24201,2732634
ARDENT LEISURE LIMITED ,22104529106,2817,52915,271635
ARNOTTS BISCUITS HOLDINGS PTY LTD ,84080889621,27132,55548,762464
ARRIUM LIMITED ,63004410833,2850015,1100904,38641283
ARROW ENERGY HOLDINGS PTY LTD ,94141385293,1009399,41821,14287139
ASAHI HOLDINGS (AUSTRALIA) PTY LTD ,48135315767,18612,54968,551250
ASALEO CARE LIMITED ,61154461300,47720,154553,1402255
ASCIANO LIMITED ,26123652862,1064681,166054,15974369
ASP SHIP MANAGEMENT PTY LTD ,81080401949,63130,0,863153
ATCO AUSTRALIA PTY. LTD. ,74091033546,1104674,59068,12416773
ATLAS IRON LIMITED ,63110396168,95595,4067,1403587
AURIZON HOLDINGS LTD ,14146335622,765258,427317,12785920
AURORA ENERGY PTY LTD ,85082464622,5323,47223,920326
AUSCAN HOLDINGS PTY LIMITED ,70084400886,127434,39,9783974
AUSGRID ,67505337385,30643,908539,4071551
AUSNET SERVICES (TRANSMISSION) LTD ,48116124362,27652,1966365,6099776
AUSNET SERVICES HOLDINGS PTY LTD ,97086006859,156726,574905,2043304
AUSTIN HEALTH ,96237388063,12465,54421,408967
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD ,11005357522,8376,146546,655930
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED ,89069775266,7738,67846,355140
