corporation,abn,scope1,scope2,net-energy,fy-ending
A B C Tissue Products Pty Ltd ,33003085112,26584,86999,775366,2015
A.A. Scott Pty Ltd,14007601667,155674,6966,2270880,2015
A.C.N. 085 239 998 Pty Ltd ,39085239998,7420,187055,899646,2015
A.J. Bush & Sons Pty Ltd ,77000134010,66236,19179,964268,2015
Aapc Limited ,87009175820,19015,167948,1038942,2015
Adelaide Brighton Limited ,15007596018,2285288,269882,14948998,2015
Aditya Birla Minerals Limited ,37103515037,73376,4229,1417985,2015
Aeris Resources Limited ,30147131977,17815,65459,528890,2015
Agl Energy Limited1 ,74115061375,38346476,495693,300106540,2015
Air Liquide Australia Limited ,57004385782,6009,280879,1224544,2015
Alcan Gove Pty Limited ,76000453663,212219,0,2725392,2015
Alcoa Australian Holdings Pty Ltd ,33096987370,7649023,6057867,136030380,2015
Aldi Foods Pty Limited ,18086210139,33264,208052,1265930,2015
Alinta Energy Finance Pty Ltd ,39149229998,4628228,15946,46642668,2015
Alliance Airlines Pty Limited ,81107165980,159094,1355,2292104,2015
Amcor Limited ,62000017372,7565,64333,356044,2015
Amp Limited ,49079354519,9021,112962,563253,2015
Anglo American Australia Limited ,47004892371,4072937,630688,13072831,2015
Anglogold Ashanti Australia Limited ,42008737424,337149,317,5191193,2015
Apt Pipelines Limited ,89009666700,350922,26857,3177910,2015
Ardent Leisure Limited ,22104529106,2677,55581,283328,2015
Armesto'S Transport Pty. Ltd. ,46060651514,74055,117,1059959,2015
Arnotts Biscuits Holdings Pty Ltd ,84080889621,28325,55823,786684,2015
Arrium Limited ,63004410833,2852625,1175472,39082437,2015
Arrow Energy Holdings Pty Ltd ,94141385293,1727037,33451,24713923,2015
Asahi Holdings (Australia) Pty Ltd ,48135315767,18325,56480,552036,2015
Asaleo Care Limited ,61154461300,44016,156334,1331875,2015
Asciano Limited ,26123652862,1034029,167760,15556729,2015
Asp Ship Management Pty Ltd ,81080401949,55301,0,758643,2015
Atco Australia Pty. Ltd. ,74091033546,1122880,46148,12983701,2015
Atlas Iron Limited ,63110396168,58604,6195,883268,2015
Aurizon Holdings Ltd ,14146335622,693224,429103,11856702,2015
Auscan Holdings Pty Limited ,70084400886,107747,41,1480369,2015
Ausgrid ,67505337385,26393,942184,4179168,2015
Ausnet Services (Transmission) Ltd ,48116124362,16929,1498281,4621302,2015
Ausnet Services Holdings Pty Ltd ,97086006859,152652,640784,2200014,2015
Austin Health ,96237388063,15673,54990,471304,2015
Australia And New Zealand Banking Group Ltd ,11005357522,8044,139449,625385,2015
Australia Pacific Airports Corporation Limited ,89069775266,8142,65197,350713,2015
Australian Gas Networks Limited ,19078551685,461486,183,26059,2015
Australian National University ,52234063906,14921,83858,601250,2015
Australian Nuclear Science And Technology Organisation ,47956969590,2759,66199,255130,2015
Australian Postal Corporation ,28864970579,114556,181954,2425393,2015
Automotive Holdings Group Limited ,35111470038,191147,76417,3057307,2015
Axia Energy Australia Pty Ltd ,75108275216,460102,0,5563822,2015
B.M.D. Holdings Pty. Limited ,47010093348,56551,1206,819001,2015
Baiada Pty Limited ,47000426808,66188,132076,1487969,2015
Barrick (Australia Pacific Holdings) Pty Ltd ,68085702558,60721,214235,1780731,2015
Bc Iron Limited ,21120646924,54647,60,788158,2015
Beach Energy Limited ,20007617969,52725,354,354152,2015
Bechtel (Western Australia) Pty Ltd ,25147531226,154067,0,1724832,2015
Bechtel Australia Proprietary Limited ,42006334505,527498,3307,9731993,2015
Bega Cheese Limited ,81008358503,48447,95577,1560227,2015
Bg International (Aus) Investments Pty Limited ,86131104651,2056697,747256,35947897,2015
Bgc (Australia) Pty Ltd ,62005736005,125823,84996,2627182,2015
Bhca Pty Limited ,99126164163,10939,53993,327922,2015
Bhp Billiton Energy Coal Australia Pty Ltd ,79057364315,449281,85779,6375654,2015
Bhp Billiton Limited ,49004028077,3297822,1519133,54514944,2015
Bidvest Australia Limited ,33000228231,20445,48196,417705,2015
Big Ben Holdings Pty. Limited ,63008434562,75787,23171,1052909,2015
Blacktown Waste Services Pty Limited ,21102860944,51807,88,12902,2015
Bluescope Steel Limited ,16000011058,5588003,946532,68341573,2015
Bluewaters Power 1 Pty Ltd ,93106034879,1482015,2327,10405567,2015
Bluewaters Power 2 Pty Ltd ,57122896968,1377635,1775,9237658,2015
Bm Alliance Coal Operations Pty Ltd ,67096412752,2367370,1106678,24764822,2015
Boc Limited ,95000029729,42287,544408,3469444,2015
Boral Limited ,13008421761,1712259,388936,14116876,2015
Borg Manufacturing Pty Limited ,31003246357,34015,101018,1564934,2015
Bp Australia Investments Pty Ltd ,66102991551,1389431,468664,30986613,2015
Bpih Pty Limited ,61100364234,26747,24643,445546,2015
Bradken Limited ,33108693009,21865,52782,658296,2015
Brickworks Ltd ,17000028526,236645,103271,5124454,2015
Broadspectrum Limited ,69000484417,52619,23265,911374,2015
Caledon Coal Pty Limited ,40120967839,148596,24489,194748,2015
Caltex Australia Limited ,40004201307,938680,197970,84698975,2015
Cargill Australia Limited ,42004684173,101345,64949,2148703,2015
Carter Holt Harvey Building Products Pty Limited ,88121366041,52236,182850,7277998,2015
Cbh Resources Limited ,27009423858,9179,76132,452456,2015
Cement Australia Holdings Pty Ltd ,99001085561,2632110,206137,12621137,2015
Cement Australia Pty Limited ,75104053474,37434,26652,662594,2015
Centennial Coal Company Limited ,30003714538,1459834,279808,1568924,2015
Ceva Pty Ltd ,27122147433,72970,28940,1154236,2015
Charter Hall Limited ,57113531150,5965,83916,395789,2015
Chemco Pty Ltd ,68008725817,36857,149427,3220020,2015
